Mouse.Gene_ID	MGI	Entrez.Gene_ID	Human.Gene_ID	HGNC
ENSMUSG00000020801	Med31	67279	ENSG00000108590	MED31
ENSMUSG00000005355	Casp14	12365	ENSG00000105141	CASP14
ENSMUSG00000038324	Trpc4ap	56407	ENSG00000100991	TRPC4AP
ENSMUSG00000042328	Hps4	192232	ENSG00000100099	HPS4
ENSMUSG00000032481	Smarcc1	20588	ENSG00000173473	SMARCC1
ENSMUSG00000031289	Il13ra2	16165	ENSG00000123496	IL13RA2
ENSMUSG00000025314	Ptprj	19271	ENSG00000149177	PTPRJ
ENSMUSG00000051652	Lrrc3	237387	ENSG00000160233	LRRC3
ENSMUSG00000047735	Samd9l	209086	ENSG00000177409	SAMD9L
ENSMUSG00000027175	Tcp11l1	320554	ENSG00000176148	TCP11L1
ENSMUSG00000061740	Cyp2d22	56448	ENSG00000205702	CYP2D7
ENSMUSG00000061411	Nol4l	329540	ENSG00000197183	NOL4L
ENSMUSG00000034522	Zfp395	380912	ENSG00000186918	ZNF395
ENSMUSG00000021428	Riok1	71340	ENSG00000124784	RIOK1
ENSMUSG00000095270	Ifna9	15972	ENSG00000147885	IFNA16
ENSMUSG00000095270	Ifna9	15972	ENSG00000188379	IFNA2
ENSMUSG00000095270	Ifna9	15972	ENSG00000120235	IFNA6
ENSMUSG00000095270	Ifna9	15972	ENSG00000233816	IFNA13
ENSMUSG00000095270	Ifna9	15972	ENSG00000214042	IFNA7
ENSMUSG00000095270	Ifna9	15972	ENSG00000234829	IFNA17
ENSMUSG00000095270	Ifna9	15972	ENSG00000137080	IFNA21
ENSMUSG00000095270	Ifna9	15972	ENSG00000197919	IFNA1
ENSMUSG00000091873	Olfr732	258659	ENSG00000279408	OR4N4C
ENSMUSG00000091873	Olfr732	258659	ENSG00000285472	
ENSMUSG00000091873	Olfr732	258659	ENSG00000280709	LINC02203
ENSMUSG00000091873	Olfr732	258659	ENSG00000183706	OR4N4
ENSMUSG00000076733	Ighv8-13	NA	ENSG00000259303	IGHV2OR16-5
ENSMUSG00000033416	Gucd1	68778	ENSG00000138867	GUCD1
ENSMUSG00000027255	Arfgap2	77038	ENSG00000149182	ARFGAP2
ENSMUSG00000046814	Gchfr	320415	ENSG00000137880	GCHFR
ENSMUSG00000007827	Ankrd26	232339	ENSG00000181626	ANKRD62
ENSMUSG00000076140	Mir542	723901	ENSG00000207784	MIR542
ENSMUSG00000048806	Ifnb1	15977	ENSG00000171855	IFNB1
ENSMUSG00000045991	Onecut2	225631	ENSG00000119547	ONECUT2
ENSMUSG00000018927	Ccl6	20305	ENSG00000274736	CCL23
ENSMUSG00000018927	Ccl6	20305	ENSG00000275718	CCL15
ENSMUSG00000018927	Ccl6	20305	ENSG00000275688	CCL15-CCL14
ENSMUSG00000030092	Cntn6	53870	ENSG00000134115	CNTN6
ENSMUSG00000064553	Gm24622	115489248	ENSG00000202380	RNU1-55P
ENSMUSG00000038132	Rbm24	666794	ENSG00000112183	RBM24
ENSMUSG00000039108	Lsm14b	241846	ENSG00000149657	LSM14B
ENSMUSG00000039050	Osbpl2	228983	ENSG00000130703	OSBPL2
ENSMUSG00000078320	Tex13c1	637093	ENSG00000282815	TEX13C
ENSMUSG00000078320	Tex13c1	637093	ENSG00000282419	TEX13D
ENSMUSG00000035395	Dcaf8l	18630	ENSG00000226372	DCAF8L1
ENSMUSG00000056228	Cars2	71941	ENSG00000134905	CARS2
ENSMUSG00000041138	Nme8	73412	ENSG00000086288	NME8
ENSMUSG00000020072	Pbld2	67307	ENSG00000108187	PBLD
ENSMUSG00000030929	Eri2	71151	ENSG00000196678	ERI2
ENSMUSG00000038077	Kcna6	16494	ENSG00000151079	KCNA6
ENSMUSG00000046204	Pnma2	239157	ENSG00000240694	PNMA2
ENSMUSG00000041044	Lrit1	239037	ENSG00000148602	LRIT1
ENSMUSG00000051582	Otud6a	408193	ENSG00000189401	OTUD6A
ENSMUSG00000047343	Mettl21c	433294	ENSG00000139780	METTL21C
ENSMUSG00000067860	Zic3	22773	ENSG00000156925	ZIC3
ENSMUSG00000094146	Gm10142	100502921	ENSG00000188155	KRTAP10-6
ENSMUSG00000094146	Gm10142	100502921	ENSG00000221837	KRTAP10-9
ENSMUSG00000020211	Sf3a2	20222	ENSG00000104897	SF3A2
ENSMUSG00000077714	Snord17	100313519	ENSG00000212232	SNORD17
ENSMUSG00000084135	Pom121l12	432536	ENSG00000221900	POM121L12
ENSMUSG00000020646	Mboat2	67216	ENSG00000143797	MBOAT2
ENSMUSG00000034192	Lsm3	67678	ENSG00000170860	LSM3
ENSMUSG00000034435	Tmem30b	238257	ENSG00000182107	TMEM30B
ENSMUSG00000059112	Olfr1263	258790	ENSG00000260811	OR4C45
ENSMUSG00000066233	Tmem42	66079	ENSG00000169964	TMEM42
ENSMUSG00000077394	Gm24339	115487283	ENSG00000201592	
ENSMUSG00000022231	Sema5a	20356	ENSG00000112902	SEMA5A
ENSMUSG00000040429	Mterf1a	545725	ENSG00000127989	MTERF1
ENSMUSG00000076432	Ywhaq	22630	ENSG00000134308	YWHAQ
ENSMUSG00000079113	Defa43	665956	ENSG00000164821	DEFA4
ENSMUSG00000079113	Defa43	665956	ENSG00000164816	DEFA5
ENSMUSG00000079113	Defa43	665956	ENSG00000239839	DEFA3
ENSMUSG00000079113	Defa43	665956	ENSG00000164822	DEFA6
ENSMUSG00000022020	Naa16	66897	ENSG00000172766	NAA16
ENSMUSG00000029050	Ski	20481	ENSG00000157933	SKI
ENSMUSG00000054204	Alkal2	100294583	ENSG00000189292	ALKAL2
ENSMUSG00000044320	1700001O22Rik	73598	ENSG00000179058	C9orf50
ENSMUSG00000037622	Wdtc1	230796	ENSG00000142784	WDTC1
ENSMUSG00000028495	Rps6	20104	ENSG00000137154	RPS6
ENSMUSG00000025203	Scd2	20250	ENSG00000099194	SCD
ENSMUSG00000005103	Wdr1	22388	ENSG00000071127	WDR1
ENSMUSG00000070677	Pramel48	320549	ENSG00000279804	PRAMEF18
ENSMUSG00000070677	Pramel48	320549	ENSG00000120952	PRAMEF2
ENSMUSG00000070677	Pramel48	320549	ENSG00000243073	PRAMEF4
ENSMUSG00000070677	Pramel48	320549	ENSG00000279169	PRAMEF13
ENSMUSG00000070677	Pramel48	320549	ENSG00000187545	PRAMEF10
ENSMUSG00000070677	Pramel48	320549	ENSG00000239810	PRAMEF11
ENSMUSG00000070677	Pramel48	320549	ENSG00000116721	PRAMEF1
ENSMUSG00000070677	Pramel48	320549	ENSG00000232423	PRAMEF6
ENSMUSG00000002372	Ranbp3	71810	ENSG00000031823	RANBP3
ENSMUSG00000095718	Pramel40	624421	ENSG00000279804	PRAMEF18
ENSMUSG00000095718	Pramel40	624421	ENSG00000120952	PRAMEF2
ENSMUSG00000095718	Pramel40	624421	ENSG00000243073	PRAMEF4
ENSMUSG00000095718	Pramel40	624421	ENSG00000279169	PRAMEF13
ENSMUSG00000095718	Pramel40	624421	ENSG00000187545	PRAMEF10
ENSMUSG00000095718	Pramel40	624421	ENSG00000239810	PRAMEF11
ENSMUSG00000095718	Pramel40	624421	ENSG00000116721	PRAMEF1
ENSMUSG00000095718	Pramel40	624421	ENSG00000232423	PRAMEF6
ENSMUSG00000031483	Erlin2	244373	ENSG00000147475	ERLIN2
ENSMUSG00000021952	Xpo4	57258	ENSG00000132953	XPO4
ENSMUSG00000094500	Smim18	72632	ENSG00000253457	SMIM18
ENSMUSG00000029815	Malsu1	75593	ENSG00000156928	MALSU1
ENSMUSG00000021604	Irx4	50916	ENSG00000113430	IRX4
ENSMUSG00000047844	Bex4	406217	ENSG00000102409	BEX4
ENSMUSG00000047459	Dynlrb1	67068	ENSG00000125971	DYNLRB1
ENSMUSG00000005881	Ergic3	66366	ENSG00000125991	ERGIC3
ENSMUSG00000030960	Eef1akmt2	72096	ENSG00000258539	
ENSMUSG00000075065	Olfr1270	258987	ENSG00000175619	OR4B1
ENSMUSG00000030302	Atp2b2	11941	ENSG00000157087	ATP2B2
ENSMUSG00000030652	Coq7	12850	ENSG00000167186	COQ7
ENSMUSG00000048279	Sacs	50720	ENSG00000151835	SACS
ENSMUSG00000039768	Dnajc11	230935	ENSG00000007923	DNAJC11
ENSMUSG00000034083	Ccdc174	232236	ENSG00000154781	CCDC174
ENSMUSG00000075121	Olfr1195	258748	ENSG00000279514	OR4C16
ENSMUSG00000015665	Awat1	245533	ENSG00000204195	AWAT1
ENSMUSG00000031245	Hmgn5	50887	ENSG00000198157	HMGN5
ENSMUSG00000028415	Spink4	20731	ENSG00000122711	SPINK4
ENSMUSG00000027509	Rae1	66679	ENSG00000101146	RAE1
ENSMUSG00000059866	Tnip2	231130	ENSG00000168884	TNIP2
ENSMUSG00000054003	Tdrd9	74691	ENSG00000156414	TDRD9
ENSMUSG00000001520	Nrip2	60345	ENSG00000053702	NRIP2
ENSMUSG00000070619	Pramel31	433779	ENSG00000279804	PRAMEF18
ENSMUSG00000070619	Pramel31	433779	ENSG00000120952	PRAMEF2
ENSMUSG00000070619	Pramel31	433779	ENSG00000243073	PRAMEF4
ENSMUSG00000070619	Pramel31	433779	ENSG00000279169	PRAMEF13
ENSMUSG00000070619	Pramel31	433779	ENSG00000187545	PRAMEF10
ENSMUSG00000070619	Pramel31	433779	ENSG00000239810	PRAMEF11
ENSMUSG00000070619	Pramel31	433779	ENSG00000116721	PRAMEF1
ENSMUSG00000070619	Pramel31	433779	ENSG00000232423	PRAMEF6
ENSMUSG00000020817	Rabep1	54189	ENSG00000029725	RABEP1
ENSMUSG00000004071	Cdip1	66626	ENSG00000089486	CDIP1
ENSMUSG00000022560	Slc52a2	52710	ENSG00000132517	SLC52A1
ENSMUSG00000078262	Krtap4-9	665998	ENSG00000196156	KRTAP4-3
ENSMUSG00000023074	Mospd1	70380	ENSG00000101928	MOSPD1
ENSMUSG00000065864	Gm24031	115488396	ENSG00000201512	SNORA71C
ENSMUSG00000094662	Defa36	100862126	ENSG00000164821	DEFA4
ENSMUSG00000094662	Defa36	100862126	ENSG00000164816	DEFA5
ENSMUSG00000094662	Defa36	100862126	ENSG00000239839	DEFA3
ENSMUSG00000094662	Defa36	100862126	ENSG00000164822	DEFA6
ENSMUSG00000024867	Pip5k1b	18719	ENSG00000107242	PIP5K1B
ENSMUSG00000025060	Slk	20874	ENSG00000065613	SLK
ENSMUSG00000039492	Ccdc27	381580	ENSG00000162592	CCDC27
ENSMUSG00000066043	Phactr4	100169	ENSG00000204138	PHACTR4
ENSMUSG00000076668	Ighv7-4	NA	ENSG00000259490	IGHV3OR15-7
ENSMUSG00000076668	Ighv7-4	NA	ENSG00000211943	IGHV3-15
ENSMUSG00000026643	Nmt2	18108	ENSG00000152465	NMT2
ENSMUSG00000030291	Med21	108098	ENSG00000152944	MED21
ENSMUSG00000039911	Spsb1	74646	ENSG00000171621	SPSB1
ENSMUSG00000029722	Agfg2	231801	ENSG00000106351	AGFG2
ENSMUSG00000090486	BC035947	NA	ENSG00000242950	ERVW-1
ENSMUSG00000021103	Mnat1	17420	ENSG00000020426	MNAT1
ENSMUSG00000021754	Map3k1	26401	ENSG00000095015	MAP3K1
ENSMUSG00000087642	Ighe	NA	ENSG00000211891	IGHE
ENSMUSG00000030224	Strap	20901	ENSG00000023734	STRAP
ENSMUSG00000038415	Foxq1	15220	ENSG00000164379	FOXQ1
ENSMUSG00000027524	Edn3	13616	ENSG00000124205	EDN3
ENSMUSG00000046909	Tefm	68550	ENSG00000172171	TEFM
ENSMUSG00000025425	St8sia5	225742	ENSG00000101638	ST8SIA5
ENSMUSG00000071748	Gm14698	NA	ENSG00000198252	STYX
ENSMUSG00000030162	Olr1	108078	ENSG00000173391	OLR1
ENSMUSG00000045875	Adra1a	11549	ENSG00000120907	ADRA1A
ENSMUSG00000051518	Rps19bp1	66538	ENSG00000187051	RPS19BP1
ENSMUSG00000109520	Olfr1493-ps1	NA	ENSG00000172772	OR10W1
ENSMUSG00000070056	Mfhas1	52065	ENSG00000147324	MFHAS1
ENSMUSG00000090470	Prr23a3	71979	ENSG00000255378	PRR23D2
ENSMUSG00000038080	Kdm1b	218214	ENSG00000165097	KDM1B
ENSMUSG00000040007	Bahd1	228536	ENSG00000140320	BAHD1
ENSMUSG00000046768	Rhoj	80837	ENSG00000126785	RHOJ
ENSMUSG00000076745	Trgv4	NA	ENSG00000227191	TRGC2
ENSMUSG00000076745	Trgv4	NA	ENSG00000211689	TRGC1
ENSMUSG00000078515	Ddi2	68817	ENSG00000215695	RSC1A1
ENSMUSG00000114923	Gm49345	NA	ENSG00000214652	ZNF727
ENSMUSG00000114923	Gm49345	NA	ENSG00000105750	ZNF85
ENSMUSG00000114923	Gm49345	NA	ENSG00000197124	ZNF682
ENSMUSG00000050463	Krt78	332131	ENSG00000170423	KRT78
ENSMUSG00000022235	Cmbl	69574	ENSG00000164237	CMBL
ENSMUSG00000024734	Zp1	22786	ENSG00000149506	ZP1
ENSMUSG00000045201	Lrrc3b	218763	ENSG00000179796	LRRC3B
ENSMUSG00000023009	Nckap5l	380969	ENSG00000167566	NCKAP5L
ENSMUSG00000027574	Nkain4	58237	ENSG00000101198	NKAIN4
ENSMUSG00000055733	Nap1l3	54561	ENSG00000186310	NAP1L3
ENSMUSG00000020163	Uqcr11	66594	ENSG00000127540	UQCR11
ENSMUSG00000021337	Scgn	214189	ENSG00000079689	SCGN
ENSMUSG00000031696	Vps35	65114	ENSG00000069329	VPS35
ENSMUSG00000056770	Setd3	52690	ENSG00000183576	SETD3
ENSMUSG00000001120	Pcbp3	59093	ENSG00000183570	PCBP3
ENSMUSG00000028409	Smu1	74255	ENSG00000122692	SMU1
ENSMUSG00000046323	Dppa3	73708	ENSG00000187569	DPPA3
ENSMUSG00000021102	Glrx5	73046	ENSG00000182512	GLRX5
ENSMUSG00000042428	Mgat3	17309	ENSG00000128268	MGAT3
ENSMUSG00000040549	Ckap5	75786	ENSG00000175216	CKAP5
ENSMUSG00000030154	Klrb1f	232408	ENSG00000111796	KLRB1
ENSMUSG00000075061	Olfr1272	258982	ENSG00000175619	OR4B1
ENSMUSG00000064213	Defa24	503491	ENSG00000164821	DEFA4
ENSMUSG00000064213	Defa24	503491	ENSG00000164816	DEFA5
ENSMUSG00000064213	Defa24	503491	ENSG00000239839	DEFA3
ENSMUSG00000064213	Defa24	503491	ENSG00000164822	DEFA6
ENSMUSG00000020536	Llgl1	16897	ENSG00000131899	LLGL1
ENSMUSG00000093249	Gm24576	NA	ENSG00000278724	
ENSMUSG00000066042	Med18	67219	ENSG00000130772	MED18
ENSMUSG00000041361	Myzap	102371	ENSG00000137878	GCOM1
ENSMUSG00000024130	Abca3	27410	ENSG00000167972	ABCA3
ENSMUSG00000112919	Gm9049	668216	ENSG00000096401	CDC5L
ENSMUSG00000042638	Gucy2c	14917	ENSG00000070019	GUCY2C
ENSMUSG00000021418	Rpp40	208366	ENSG00000124787	RPP40
ENSMUSG00000024743	Syt7	54525	ENSG00000011347	SYT7
ENSMUSG00000078668	Gm11595	100040276	ENSG00000196156	KRTAP4-3
ENSMUSG00000017548	Suz12	52615	ENSG00000178691	SUZ12
ENSMUSG00000114004	Gm48552	117934532	ENSG00000284638	
ENSMUSG00000117975	Itprip	414801	ENSG00000148841	ITPRIP
ENSMUSG00000021696	Elovl7	74559	ENSG00000164181	ELOVL7
ENSMUSG00000022516	Nudt16l1	66911	ENSG00000168101	NUDT16L1
ENSMUSG00000027490	E2f1	13555	ENSG00000101412	E2F1
ENSMUSG00000078509	Pramel14	626943	ENSG00000279804	PRAMEF18
ENSMUSG00000078509	Pramel14	626943	ENSG00000120952	PRAMEF2
ENSMUSG00000078509	Pramel14	626943	ENSG00000243073	PRAMEF4
ENSMUSG00000078509	Pramel14	626943	ENSG00000279169	PRAMEF13
ENSMUSG00000078509	Pramel14	626943	ENSG00000187545	PRAMEF10
ENSMUSG00000078509	Pramel14	626943	ENSG00000239810	PRAMEF11
ENSMUSG00000078509	Pramel14	626943	ENSG00000116721	PRAMEF1
ENSMUSG00000078509	Pramel14	626943	ENSG00000232423	PRAMEF6
ENSMUSG00000031220	Awat2	245532	ENSG00000147160	AWAT2
ENSMUSG00000049657	Zbtb5	230119	ENSG00000168795	ZBTB5
ENSMUSG00000085957	Syna	214292	ENSG00000244476	ERVFRD-1
ENSMUSG00000025324	Atp10a	11982	ENSG00000206190	ATP10A
ENSMUSG00000068290	Ddrgk1	77006	ENSG00000198171	DDRGK1
ENSMUSG00000030681	Mvp	78388	ENSG00000013364	MVP
ENSMUSG00000036306	Lzts1	211134	ENSG00000061337	LZTS1
ENSMUSG00000091080	Prr23a1	623166	ENSG00000255378	PRR23D2
ENSMUSG00000058124	H2-M10.3	110696	ENSG00000206503	HLA-A
ENSMUSG00000005846	Rsl1d1	66409	ENSG00000171490	RSL1D1
ENSMUSG00000078591	Hs3st4	628779	ENSG00000182601	HS3ST4
ENSMUSG00000074909	Ranbp6	240614	ENSG00000137040	RANBP6
ENSMUSG00000065362	Gm24411	115489590	ENSG00000201512	SNORA71C
ENSMUSG00000033717	Adra2a	11551	ENSG00000150594	ADRA2A
ENSMUSG00000039958	Etfbkmt	320204	ENSG00000139160	ETFBKMT
ENSMUSG00000021852	Slc35f4	75288	ENSG00000151812	SLC35F4
ENSMUSG00000022449	Adamts20	223838	ENSG00000173157	ADAMTS20
ENSMUSG00000036510	Cdh8	12564	ENSG00000150394	CDH8
ENSMUSG00000020528	Prpsap2	212627	ENSG00000141127	PRPSAP2
ENSMUSG00000047342	Zfp286	192651	ENSG00000255104	
ENSMUSG00000064727	Gm25853	115488685	ENSG00000201512	SNORA71C
ENSMUSG00000021241	Isca2	74316	ENSG00000165898	ISCA2
ENSMUSG00000059734	Ndufs8	225887	ENSG00000110717	NDUFS8
ENSMUSG00000075934	Gm24423	115487010	ENSG00000206826	RNU6-974P
ENSMUSG00000075486	Commd6	66200	ENSG00000188243	COMMD6
ENSMUSG00000018537	Pcgf2	22658	ENSG00000277258	PCGF2
ENSMUSG00000044345	Marveld1	277010	ENSG00000155254	MARVELD1
ENSMUSG00000020537	Drg2	13495	ENSG00000108591	DRG2
ENSMUSG00000028893	Sesn2	230784	ENSG00000130766	SESN2
ENSMUSG00000017677	Wsb1	78889	ENSG00000109046	WSB1
ENSMUSG00000047866	Lonp2	66887	ENSG00000102910	LONP2
ENSMUSG00000021846	Peli2	93834	ENSG00000139946	PELI2
ENSMUSG00000021846	Peli2	624367	ENSG00000139946	PELI2
ENSMUSG00000000386	Mx1	NA	ENSG00000157601	MX1
ENSMUSG00000054723	Vmac	106639	ENSG00000187650	VMAC
ENSMUSG00000047832	Cdca4	71963	ENSG00000170779	CDCA4
ENSMUSG00000093593	Gm20683	NA	ENSG00000140983	RHOT2
ENSMUSG00000086158	Ccpg1os	546143	ENSG00000261652	C15orf65
ENSMUSG00000034055	Phka1	18679	ENSG00000067177	PHKA1
ENSMUSG00000034932	Mrpl54	66047	ENSG00000183617	MRPL54
ENSMUSG00000027489	Necab3	56846	ENSG00000125967	NECAB3
ENSMUSG00000002108	Nr1h3	22259	ENSG00000025434	NR1H3
ENSMUSG00000024833	Pola2	18969	ENSG00000285816	
ENSMUSG00000039296	Spdye4a	74673	ENSG00000170092	SPDYE5
ENSMUSG00000039296	Spdye4a	74673	ENSG00000185040	SPDYE16
ENSMUSG00000050232	Cxcr3	12766	ENSG00000186810	CXCR3
ENSMUSG00000031697	Orc6	56452	ENSG00000091651	ORC6
ENSMUSG00000065418	Mir322	723907	ENSG00000284231	MIR424
ENSMUSG00000017861	Mybl2	17865	ENSG00000101057	MYBL2
ENSMUSG00000078511	Pramel16	329984	ENSG00000279804	PRAMEF18
ENSMUSG00000078511	Pramel16	329984	ENSG00000120952	PRAMEF2
ENSMUSG00000078511	Pramel16	329984	ENSG00000243073	PRAMEF4
ENSMUSG00000078511	Pramel16	329984	ENSG00000279169	PRAMEF13
ENSMUSG00000078511	Pramel16	329984	ENSG00000187545	PRAMEF10
ENSMUSG00000078511	Pramel16	329984	ENSG00000239810	PRAMEF11
ENSMUSG00000078511	Pramel16	329984	ENSG00000116721	PRAMEF1
ENSMUSG00000078511	Pramel16	329984	ENSG00000232423	PRAMEF6
ENSMUSG00000047989	Ino80c	225280	ENSG00000153391	INO80C
ENSMUSG00000030350	Prmt8	381813	ENSG00000111218	PRMT8
ENSMUSG00000017057	Il13ra1	16164	ENSG00000131724	IL13RA1
ENSMUSG00000096852	Cyp2d12	380997	ENSG00000205702	CYP2D7
ENSMUSG00000023272	Creld2	76737	ENSG00000184164	CRELD2
ENSMUSG00000032936	Camkv	235604	ENSG00000164076	CAMKV
ENSMUSG00000058052	Defb35	246084	ENSG00000186599	DEFB105B
ENSMUSG00000028411	Aptx	66408	ENSG00000137074	APTX
ENSMUSG00000024640	Psat1	107272	ENSG00000135069	PSAT1
ENSMUSG00000005102	Eif2ak4	27103	ENSG00000128829	EIF2AK4
ENSMUSG00000062991	Nrg1	211323	ENSG00000157168	NRG1
ENSMUSG00000041199	Rpusd1	106707	ENSG00000007376	RPUSD1
ENSMUSG00000025017	Pik3ap1	83490	ENSG00000155629	PIK3AP1
ENSMUSG00000075470	Alg10b	380959	ENSG00000175548	ALG10B
ENSMUSG00000003037	Rab8a	17274	ENSG00000167461	RAB8A
ENSMUSG00000061414	Cracr2a	381812	ENSG00000130038	CRACR2A
ENSMUSG00000095463	Entpd4	67464	ENSG00000197217	ENTPD4
ENSMUSG00000032596	Uba7	74153	ENSG00000182179	UBA7
ENSMUSG00000021728	Emb	13723	ENSG00000170571	EMB
ENSMUSG00000020178	Adora2a	11540	ENSG00000128271	ADORA2A
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285975	FAM90A7P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285913	FAM90A18P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285950	FAM90A10P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285607	FAM90A9P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285657	FAM90A19P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285720	FAM90A17P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285937	FAM90A8P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000171847	FAM90A1
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285620	FAM90A16P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285687	FAM90A22P
ENSMUSG00000079112	Fam90a1a	97476	ENSG00000285765	FAM90A23P
ENSMUSG00000028992	Nmnat1	66454	ENSG00000173614	NMNAT1
ENSMUSG00000045534	Kcna5	16493	ENSG00000130037	KCNA5
ENSMUSG00000024055	Cyp4f13	170716	ENSG00000186526	CYP4F8
ENSMUSG00000033427	Upb1	103149	ENSG00000100024	UPB1
ENSMUSG00000024889	Rce1	19671	ENSG00000173653	RCE1
ENSMUSG00000030303	Far2	330450	ENSG00000064763	FAR2
ENSMUSG00000039620	Trmt9b	319582	ENSG00000250305	TRMT9B
ENSMUSG00000022517	Mgrn1	17237	ENSG00000102858	MGRN1
ENSMUSG00000076672	Ighv3-6	NA	ENSG00000278263	
ENSMUSG00000076672	Ighv3-6	NA	ENSG00000211956	IGHV4-34
ENSMUSG00000076672	Ighv3-6	NA	ENSG00000259261	IGHV4OR15-8
ENSMUSG00000076672	Ighv3-6	NA	ENSG00000211952	IGHV4-28
ENSMUSG00000064293	Cntn4	269784	ENSG00000144619	CNTN4
ENSMUSG00000061079	Zfp143	20841	ENSG00000166478	ZNF143
ENSMUSG00000027424	Mgme1	74528	ENSG00000125871	MGME1
ENSMUSG00000052516	Robo2	268902	ENSG00000185008	ROBO2
ENSMUSG00000024430	Cabyr	71132	ENSG00000154040	CABYR
ENSMUSG00000094505	Ighv8-6	NA	ENSG00000259303	IGHV2OR16-5
ENSMUSG00000034974	Dapk3	13144	ENSG00000167657	DAPK3
ENSMUSG00000033105	Lss	16987	ENSG00000160285	LSS
ENSMUSG00000116925	Gm49776	NA	ENSG00000128191	DGCR8
ENSMUSG00000026786	Apbb1ip	54519	ENSG00000077420	APBB1IP
ENSMUSG00000059493	Nhs	195727	ENSG00000188158	NHS
ENSMUSG00000002342	Tmem161a	234371	ENSG00000064545	TMEM161A
ENSMUSG00000028341	Nr4a3	18124	ENSG00000119508	NR4A3
ENSMUSG00000023243	Kcnk5	16529	ENSG00000164626	KCNK5
ENSMUSG00000061065	H2al1o	333452	ENSG00000229674	H2AL1RP
ENSMUSG00000016382	Pls3	102866	ENSG00000102024	PLS3
ENSMUSG00000088830	Gm23545	NA	ENSG00000206710	RNU6-147P
ENSMUSG00000068817	Olfr1140	258635	ENSG00000187612	OR5W2
ENSMUSG00000010047	Hyal2	15587	ENSG00000068001	HYAL2
ENSMUSG00000009293	Ube2g2	22213	ENSG00000184787	UBE2G2
ENSMUSG00000046694	Tent5b	100342	ENSG00000158246	TENT5B
ENSMUSG00000001630	Stk38l	232533	ENSG00000211455	STK38L
ENSMUSG00000029055	Plch2	269615	ENSG00000149527	PLCH2
ENSMUSG00000098905	Zfp953	629016	ENSG00000214652	ZNF727
ENSMUSG00000098905	Zfp953	629016	ENSG00000105750	ZNF85
ENSMUSG00000098905	Zfp953	629016	ENSG00000197124	ZNF682
ENSMUSG00000015363	Trabd	67976	ENSG00000170638	TRABD
ENSMUSG00000031118	Magea14	74279	ENSG00000124260	MAGEA10
ENSMUSG00000027314	Dll4	54485	ENSG00000128917	DLL4
ENSMUSG00000071150	Tas2r121	387349	ENSG00000212128	TAS2R13
ENSMUSG00000018965	Ywhah	22629	ENSG00000128245	YWHAH
ENSMUSG00000020676	Ccl11	20292	ENSG00000172156	CCL11
ENSMUSG00000025733	Rhot2	214952	ENSG00000140983	RHOT2
ENSMUSG00000029343	Crybb1	12960	ENSG00000100122	CRYBB1
ENSMUSG00000079492	Gm11127	100529082	ENSG00000206503	HLA-A
ENSMUSG00000035441	Myo1d	338367	ENSG00000176658	MYO1D
ENSMUSG00000027634	Ndrg3	29812	ENSG00000101079	NDRG3
ENSMUSG00000019579	Mydgf	28106	ENSG00000074842	MYDGF
ENSMUSG00000108841	Frmpd2	268729	ENSG00000170324	FRMPD2
ENSMUSG00000038047	Haus6	230376	ENSG00000147874	HAUS6
ENSMUSG00000031221	Igbp1	18518	ENSG00000089289	IGBP1
ENSMUSG00000093645	Gm23187	115489632	ENSG00000212498	SNORD86
ENSMUSG00000043881	Kbtbd7	211255	ENSG00000120696	KBTBD7
ENSMUSG00000075425	Gm13547	433416	ENSG00000261739	GOLGA8S
ENSMUSG00000075425	Gm13547	433416	ENSG00000153684	GOLGA8F
ENSMUSG00000075425	Gm13547	433416	ENSG00000183629	GOLGA8G
ENSMUSG00000075425	Gm13547	433416	ENSG00000188626	GOLGA8M
ENSMUSG00000075425	Gm13547	433416	ENSG00000261247	GOLGA8T
ENSMUSG00000075425	Gm13547	433416	ENSG00000179938	GOLGA8J
ENSMUSG00000075425	Gm13547	433416	ENSG00000232653	GOLGA8N
ENSMUSG00000056656	Apol8	239552	ENSG00000100342	APOL1
ENSMUSG00000029621	Arpc1a	56443	ENSG00000284292	
ENSMUSG00000068816	Olfr152	258640	ENSG00000167825	OR5I1
ENSMUSG00000040978	Gm11992	626870	ENSG00000164746	C7orf57
ENSMUSG00000020783	Ncbp3	66874	ENSG00000074356	NCBP3
ENSMUSG00000031198	Fundc2	67391	ENSG00000165775	FUNDC2
ENSMUSG00000040828	Catsperd	106757	ENSG00000174898	CATSPERD
ENSMUSG00000078510	Pramel28	NA	ENSG00000279804	PRAMEF18
ENSMUSG00000078510	Pramel28	NA	ENSG00000120952	PRAMEF2
ENSMUSG00000078510	Pramel28	NA	ENSG00000243073	PRAMEF4
